Album,Song Name,Lyrics
Taylor Swift,  Teardrops On My Guitar,drew looks at me i fake a smile so he wont see that i want and im needing everything that we should be  ill bet shes beautiful that girl he talks about and shes got everything that i have to live without  drew talks to me i laugh cause its just so funny that i cant even see anyone when hes with me  he says hes so in love hes finally got it right i wonder if he knows hes all i think about at night  hes the reason for the teardrops on my guitar the only thing that keeps me wishin on a wishing star hes the song in the car i keep singing dont know why i do  drew walks by me can he tell that i cant breathe and there he goes so perfectly the kind of flawless i wish i could be  shed better hold him tight give him all her love look in those beautiful eyes and know shes lucky cause  hes the reason for the teardrops on my guitar the only thing that keeps me wishin on a wishing star hes the song in the car i keep singing dont know why i do  so ill drive home alone as i turn off the light ill put his picture down and maybe get some sleep tonight  cause hes the reason for the teardrops on my guitar the only one whos got enough of me to break my heart hes the song in the car i keep singing dont know why i do  hes the time taken up but theres never enough and hes all that i need to fall into drew looks at me i fake a smile so he wont see
Taylor Swift,  The Outside,i didnt know what i would find when i went looking for a reason i know i didnt read between the lines and baby ive got nowhere to go  i tried to take the road less traveled by but nothing seems to work the first few times am i right  so how can i ever try to be better nobody ever lets me in i can still see you this aint the best view on the outside looking in ive been a lot of lonely places ive never been on the outside  you saw me there but never knew that i would give it all up to be a part of this a part of you and now its all too late so you see  you couldve helped if you had wanted to but no one notices until its too late to do anything  how can i ever try to be better nobody ever lets me in i can still see you this aint the best view on the outside looking in ive been a lot of lonely places ive never been on the outside  oh yeah  how can i ever try to be better nobody ever lets me in and i can still see you this aint the best view on the outside looking in ive been a lot of lonely places ive never been on the outside  oh oh oh oh oh oh oh oh oh
Taylor Swift,  Tied Together with a Smile,seems the only one who doesnt see your beauty is the face in the mirror looking back at you you walk around here thinking youre not pretty but thats not true cause i know you  hold on baby youre losing it the waters high youre jumping into it and letting go and no one knows that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh  i guess its true that love was all you wanted cause youre giving it away like its extra change hoping it will end up in his pocket pocket but he leaves you out like a penny in the rain oh cause its not his price to pay its not his price to pay  hold on baby youre losing it the waters high youre jumping into it and letting go and no one knows that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh oh oh  hold on baby youre losing it the waters high youre jumping into it and letting go and no one knows that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh  youre tied together with a smile but youre coming undone oh oh oh goodbye baby with a smile baby baby oh
Taylor Swift,  Tim McGraw,he said the way my blue eyes shined put those georgia stars to shame that night i said thats a lie just a boy in a chevy truck that had a tendency of gettin stuck on backroads at night  and i was right there beside him all summer long and then the time we woke up to find that summer gone  but when you think tim mcgraw i hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me  september saw a month of tears and thankin god that you werent here to see me like that but in a box beneath my bed is a letter that you never read from three summers back  its hard not to find it all a little bittersweet and lookin back on all of that its nice to believe  when you think tim mcgraw i hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me  and im back for the first time since then im standin on your street and theres a letter left on your doorstep and the first thing that youll read  is when you think tim mcgraw i hope you think my favorite song someday youll turn your radio on i hope it takes you back to that place when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jeans when you think tim mcgraw i hope you think of me  oh think of me mmm he said the way my blue eyes shined put those georgia stars to shame that night i said thats a lie
Fearless Platinum Edition,  Breathe,i see your face in my mind as i drive away cause none of us thought it was gonna end that way people are people and sometimes we change our minds but its killing me to see you go after all this time  music starts playing like the end of a sad movie its the kind of ending you dont really wanna see cause its tragedy and itll only bring you down now i dont know what to be without you around  and we know its never simple never easy never a clean break no one here to save me youre the only thing i know like the back of my hand  and i cant breathe without you but i have to breathe without you but i have to  never wanted this never wanna see you hurt every little bump in the road i tried to swerve but people are people and sometimes it doesnt work out nothing we say is gonna save us from the fall out  and we know its never simple never easy never a clean break no one here to save me youre the only thing i know like the back of my hand  and i cant breathe without you but i have to breathe without you but i have to  its 2 am feeling like i just lost a friend hope you know its not easy easy for me its 2 am feeling like i just lost a friend hope you know this aint easy easy for me  and we know its never simple never easy never a clean break no one here to save me oh oh  i cant breathe without you but i have to breathe without you but i have to breathe without you but i have to  im sorry im sorry mmm im sorry yeah yeah im sorry im sorry im sorry im sorry
Fearless Platinum Edition,  Change,and its a sad picture the final blow hits you somebody else gets what you wanted again and you know its all the same another time and place repeating history and youre getting sick of it but i believe in whatever you do and ill do anything to see it through  because these things will change can you feel it now these walls that they put up to hold us back will fall down this revolution the time will come for us to finally win and well sing hallelujah well sing hallelujah oh oh  so weve been outnumbered raided and now cornered its hard to fight when the fight ain’t fair were getting stronger now find things they never found they might be bigger but were faster and never scared you can walk away say we dont need this but theres something in your eyes says we can beat this  cause these things will change can you feel it now these walls that they put up to hold us back will fall down this revolution the time will come for us to finally win and well sing hallelujah well sing hallelujah oh oh  tonight we stand get off our knees fight for what weve worked for all these years and the battle was long its the fight of our lives but well stand up champions tonight  it was the night things changed can you see it now these walls that they put up to hold us back fell down its a revolution throw your hands up cause we never gave in and well sing hallelujah we sang hallelujah hallelujah
Fearless Platinum Edition,  Come In With the Rain,i could go back to every laugh but i dont wanna go there anymore and i know all the steps up to your door but i dont wanna go there anymore  talk to the wind talk to the sky talk to the man with the reasons why and let me know what you find  ill leave my window open cause im too tired at night to call your name just know im right here hoping that youll come in with the rain  i could stand up and sing you a song but i dont wanna have to go that far and i ive got you down i know you by heart and you dont even know where i start  talk to yourself talk to the tears talk to the man who put you here and dont wait for the sky to clear  ill leave my window open cause im too tired at night to call your name just know im right here hoping that youll come in with the rain  ive watched you so long screamed your name i dont know what else i can say  but ill leave my window open cause im too tired at night for all these games just know im right here hoping that youll come in with the rain  i could go back to every laugh but i dont wanna go there anymore
Fearless Platinum Edition,  Fearless,theres something bout the way the street looks when its just rained theres a glow off the pavement you walk me to the car and you know i wanna ask you to dance right there in the middle of the parking lot yeah oh yeah  were driving down the road i wonder if you know im trying so hard not to get caught up now but youre just so cool run your hands through your hair absentmindedly making me want you  and i dont know how it gets better than this you take my hand and drag me head first fearless and i dont know why but with you id dance in a storm in my best dress fearless  so baby drive slow til we run out of road in this one horse town i wanna stay right here in this passengers seat you put your eyes on me in this moment now capture it remember it  cause i dont know how it gets better than this you take my hand and drag me head first fearless and i dont know why but with you id dance in a storm in my best dress fearless  well you stood there with me in the doorway my hands shake im not usually this way but you pull me in and im a little more brave its the first kiss its flawless really something its fearless oh yeah  cause i dont know how it gets better than this you take my hand and drag me head first fearless and i dont know why but with you id dance in a storm in my best dress fearless cause i dont know how it gets better than this you take my hand and drag me head first fearless and i dont know why but with you id dance in a storm in my best dress fearless  oh oh oh yeah
Fearless Platinum Edition,  Fifteen,you take a deep breath and you walk through the doors its the mornin of your very first day you say hi to your friends you aint seen in a while try and stay out of everybodys way its your freshman year and youre gonna be here for the next four years in this town hopin one of those senior boys will wink at you and say you know i havent seen you around before  cause when youre fifteen and somebody tells you they love you youre gonna believe them and when youre fifteen feelin like theres nothin to figure out well count to ten take it in this is life before you know who youre gonna be fifteen  you sit in class next to a redhead named abigail and soon enough youre best friends laughin at the other girls who think theyre so cool well be outta here as soon as we can and then youre on your very first date and hes got a car and youre feelin like flyin and your mamas waitin up and youre thinkin hes the one and youre dancin round your room when the night ends when the night ends  cause when youre fifteen and somebody tells you they love you youre gonna believe them and when youre fifteen and your first kiss makes your head spin round but in your life youll do things greater than dating the boy on the football team but i didnt know it at fifteen  when all you wanted was to be wanted wish you could go back and tell yourself what you know now back then i swore i was gonna marry him someday but i realized some bigger dreams of mine and abigail gave everything she had to a boy who changed his mind and we both cried  cause when youre fifteen and somebody tells you they love you youre gonna believe them and when youre fifteen dont forget to look before you fall ive found time can heal most anything and you just might find who youre supposed to be i didnt know who i was supposed to be at fifteen  la la la la la la la la la la la la la la la la la la la la la la la la la la  your very first day take a deep breath girl take a deep breath as you walk through the doors
Fearless Platinum Edition,  Forever & Always,once upon a time i believe it was a tuesday when i caught your eye and we caught onto something i hold onto the night you looked me in the eye and told me you loved me were you just kidding cause it seems to me this thing is breaking down we almost never speak i dont feel welcome anymore baby what happened please tell me cause one second it was perfect now youre halfway out the door  and i stare at the phone he still hasnt called and then you feel so low you cant feel nothing at all and you flashback to when he said forever and always oh and it rains in your bedroom everything is wrong it rains when youre here and it rains when youre gone cause i was there when you said forever and always  was i out of line did i say something way too honest made you run and hide like a scared little boy i looked into your eyes thought i knew you for a minute now im not so sure so heres to everything coming down to nothing heres to silence that cuts me to the core where is this going thought i knew for a minute but i dont anymore  and i stare at the phone he still hasnt called and then you feel so low you cant feel nothing at all and you flashback to when he said forever and always oh and it rains in your bedroom everything is wrong it rains when youre here and it rains when youre gone cause i was there when you said forever and always you didnt mean it baby i dont think so  oh back up baby back up did you forget everything back up baby back up did you forget everything  cause it rains in your bedroom everything is wrong it rains when youre here and it rains when youre gone cause i was there when you said forever and always oh i stare at the phone he still hasnt called and then you feel so low you cant feel nothing at all and you flashback to when we said forever and always and it rains in your bedroom everything is wrong it rains when youre here and it rains when youre gone cause i was there when you said forever and always  you didnt mean it baby you said forever and always yeah
Fearless Platinum Edition,  Hey Stephen,mmm mm mm mm mmm mm mm mm mmm mm mm mm yeah  hey stephen i know looks can be deceiving but i know i saw a light in you and as we walked we were talking i didnt say half the things i wanted to of all the girls tossing rocks at your window ill be the one waiting there even when its cold hey stephen boy you might have me believing i dont always have to be alone  cause i cant help it if you look like an angel cant help it if i wanna kiss you in the rain so come feel this magic ive been feeling since i met you cant help it if theres no one else mmm i cant help myself  hey stephen ive been holding back this feeling so i got some things to say to you ha ive seen it all so i thought but i never seen nobody shine the way you do the way you walk way you talk way you say my name its beautiful wonderful dont you ever change hey stephen why are people always leaving i think you and i should stay the same  cause i cant help it if you look like an angel cant help it if i wanna kiss you in the rain so come feel this magic ive been feeling since i met you cant help it if theres no one else mmm i cant help myself  theyre dimming the street lights youre perfect for me why arent you here tonight im waiting alone now so come on and come out and pull me near and shine shine shine  hey stephen i could give you fifty reasons why i should be the one you choose all those other girls well theyre beautiful but would they write a song for you ha ha  i cant help it if you look like an angel cant help it if i wanna kiss you in the rain so come feel this magic ive been feeling since i met you cant help it if theres no one else mmm i cant help myself if you look like an angel cant help it if i wanna kiss you in the rain so come feel this magic ive been feeling since i met you cant help it if theres no one else mmm i cant help myself  myself cant help myself i cant help myself
Fearless Platinum Edition,  Jump Then Fall,i like the way you sound in the morning were on the phone and without a warning i realize your laugh is the best sound i have ever heard i like the way i cant keep my focus i watch you talk you didnt notice i hear the words but all i can think is we should be together  every time you smile i smile and every time you shine ill shine for you  woah oh im feelin you baby dont be afraid to jump then fall jump then fall into me baby im never gonna leave you say that you wanna be with me too cause ima stay through it all so jump then fall  well i like the way your hair falls in your face you got the keys to me i love each freckle on your face oh ive never been so wrapped up honey i like the way youre everything i ever wanted i had time to think it oh over and all i can say is come closer take a deep breath and jump then fall into me  cause every time you smile i smile and every time you shine ill shine for you  woah oh im feelin you baby dont be afraid to jump then fall jump then fall into me baby im never gonna leave you say that you wanna be with me too cause ima stay through it all so jump then fall  the bottoms gonna drop out from under our feet ill catch you ill catch you when people say things that bring you to your knees ill catch you the time is gonna come when youre so mad you could cry but ill hold you through the night until you smile  woah oh i need you baby dont be afraid please jump then fall jump then fall into me baby im never gonna leave you say that you wanna be with me too cause ima stay through it all so jump then fall jump then fall baby jump then fall into me into me  every time you smile i smile and every time you shine ill shine and every time youre here baby ill show you ill show you you can jump then fall jump then fall jump then fall into me into me yeah
Fearless Platinum Edition,  Love Story,we were both young when i first saw you i close my eyes and the flashback starts im standing there on a balcony in summer air see the lights see the party the ball gowns see you make your way through the crowd and say hello little did i know  that you were romeo you were throwing pebbles and my daddy said stay away from juliet and i was crying on the staircase begging you please dont go and i said  romeo take me somewhere we can be alone ill be waiting all theres left to do is run youll be the prince and ill be the princess its a love story baby just say yes  so i sneak out to the garden to see you we keep quiet cause were dead if they knew so close your eyes escape this town for a little while oh oh  cause you were romeo i was a scarlet letter and my daddy said stay away from juliet but you were everything to me i was begging you please dont go and i said  romeo take me somewhere we can be alone ill be waiting all theres left to do is run youll be the prince and ill be the princess its a love story baby just say yes romeo save me theyre trying to tell me how to feel this love is difficult but its real dont be afraid well make it out of this mess its a love story baby just say yes  oh oh  but i got tired of waiting wondering if you were ever coming around my faith in you was fading when i met you on the outskirts of town and i said  romeo save me ive been feeling so alone i keep waiting for you but you never come is this in my head i dont know what to think he knelt to the ground and pulled out a ring and said marry me juliet youll never have to be alone i love you and thats all i really know i talked to your dad go pick out a white dress its a love story baby just say yes  oh oh oh oh oh oh cause we were both young when i first saw you
Fearless Platinum Edition,  SuperStar,this is wrong but i cant help but feel like there ain’t nothing more right babe misty morning comes again and i cant help but wish i could see your face and i knew from the first note played id be breaking all my rules to see you you smile that beautiful smile and all the girls in the front row scream your name  so dim that spotlight tell me things like i cant take my eyes off of you im no one special just another wide eyed girl whos desperately in love with you give me a photograph to hang on my wall superstar  morning loneliness comes around when im not dreaming about you when my world wakes up today youll be in another town and i knew when i saw your face id be counting down the ways to see you you smile that beautiful smile and all the girls in the front row scream your name  so dim that spotlight tell me things like i cant take my eyes off of you im no one special just another wide eyed girl whos desperately in love with you give me a photograph to hang on my wall superstar  you played in bars you play guitar and im invisible and everyone knows who you are and youll never see you sing me to sleep every night from the radio  so dim that spotlight tell me things like i cant take my eyes off of you im no one special just another wide eyed girl whos desperately in love with you give me a photograph to hang on my wall superstar  sweet sweet superstar superstar
Fearless Platinum Edition,  Tell Me Why,i took a chance i took a shot and you might think im bulletproof but im not you took a swing i took it hard and down here from the ground i see who you are  im sick and tired of your attitude im feeling like i dont know you you tell me that you love me then cut me down and i need you like a heartbeat but you know you got a mean streak that makes me run for cover when youre around and heres to you and your temper yes i remember what you said last night and i know that you see what youre doing to me tell me why  you could write a book on how to ruin someones perfect day well i get so confused and frustrated forget what im trying to say oh  im sick and tired of your reasons i got no one to believe in you tell me that you want me then push me around and i need you like a heartbeat but you know you got a mean streak that makes me run for cover when youre around heres to you and your temper yes i remember what you said last night and i know that you see what youre doing to me tell me why  why do you have to make me feel small so you can feel whole inside why do you have to put down my dreams so youre the only thing on my mind  im sick and tired of your attitude im feeling like i dont know you you tell me that you want me then cut me down im sick and tired of your reasons ive got no one to believe in you ask me for my love then you push me around heres to you and your temper yes i remember what you said last night and i know that you see what youre doing to me tell me why why tell me why why  i take a step back let you go i told you im not bulletproof now you know
Fearless Platinum Edition,  The Best Day,im five years old its getting cold ive got my big coat on i hear your laugh and look up smiling at you i run and run past the pumpkin patch and the tractor rides look now the sky is gold i hug your legs and fall asleep on the way home  i dont know why all the trees change in the fall but i know youre not scared of anything at all dont know if snow whites house is near or far away but i know i had the best day with you today  im thirteen now and dont know how my friends could be so mean i come home crying and you hold me tight and grab the keys and we drive and drive until we found a town far enough away and we talk and window shop til ive forgotten all their names  i dont know who im going to talk to now at school but i know im laughing on the car ride home with you dont know how long its going to take to feel okay but i know i had the best day with you today  i have an excellent father his strength is making me stronger god smiles on my little brother inside and out hes better than i am i grew up in a pretty house and i had space to run and i had the best days with you  there is a video i found from back when i was three you set up a paint set in the kitchen and youre talking to me its the age of princesses and pirate ships and the seven dwarfs and daddys smart and youre the prettiest lady in the whole wide world  and now i know why all the trees change in the fall i know you were on my side even when i was wrong and i love you for giving me your eyes for staying back and watching me shine and i didnt know if you knew so im taking this chance to say that i had the best day with you today
Fearless Platinum Edition,  The Other Side Of The Door,in the heat of the fight i walked away ignoring words that you were saying tryin to make me stay i said this time ive had enough and youve called a hundred times but im not picking up  cause im so mad i might tell you that its over but if you look a little closer  i said leave but all i really want is you to stand outside my window throwing pebbles screaming im in love with you wait there in the pouring rain coming back for more and dont you leave cause i know all i need is on the other side of the door  me and my stupid pride are sitting here alone going through the photographs staring at the phone i keep going back over things we both said and i remember the slamming door and all the things that i misread  so babe if you know everything tell me why you couldnt see when i left i wanted you to chase after me yeah  i said leave but all i really want is you to stand outside my window throwing pebbles screaming im in love with you wait there in the pouring rain coming back for more and dont you leave cause i know all i need is on the other side of the door  and ill scream out the window i cant even look at you i dont need you but i do i do i do ill say theres nothing you can say to make this right again i mean it i mean it what i mean is  i said leave but baby all i want is you to stand outside my window throwing pebbles screaming im in love with you wait there in the pouring rain coming back for more and dont you leave cause i know all i need is on the other side of the door  with your face and the beautiful eyes and the conversation with the little white lies and the faded picture of a beautiful night you carried me from your car up the stairs and i broke down crying was she worth this mess after everything and that little black dress after everything i must confess i need you
Fearless Platinum Edition,  The Way I Loved You,he is sensible and so incredible and all my single friends are jealous he says everything i need to hear and its like i couldnt ask for anything better he opens up my door and i get into his car and he says you look beautiful tonight and i feel perfectly fine  but i miss screaming and fighting and kissing in the rain and its 2am and im cursing your name youre so in love that you act insane and thats the way i loved you breaking down and coming undone its a roller coaster kind of rush and i never knew i could feel that much and thats the way i loved you  he respects my space and never makes me wait and he calls exactly when he says he will hes close to my mother talks business with my father hes charming and endearing and im comfortable  but i miss screaming and fighting and kissing in the rain and its 2am and im cursing your name youre so in love that you acted insane and thats the way i loved you breaking down and coming undone its a roller coaster kind of rush and i never knew i could feel that much and thats the way i loved you  he cant see the smile im faking and my hearts not breaking cause im not feeling anything at all and you were wild and crazy just so frustrating intoxicating complicated got away by some mistake and now  i miss screaming and fighting and kissing in the rain its 2am and im cursing your name im so in love that i acted insane and thats the way i loved you breaking down and coming undone its a roller coaster kind of rush and i never knew i could feel that much and thats the way i loved you oh oh  and thats the way i loved you oh oh never knew i could feel that much and thats the way i loved you
Fearless Platinum Edition,  Untouchable,untouchable like a distant diamond sky im reaching out and i just cant tell you why im caught up in you im caught up in you  untouchable burning brighter than the sun and when youre close i feel like coming undone  in the middle of the night when im in this dream its like a million little stars spelling out your name you got to come on come on say that well be together come on come on little taste of heaven  its half full and i wont wait here all day i know youre saying that youd be here anyway  but youre untouchable burning brighter than the sun and now that youre close i feel like coming undone  in the middle of the night when im in this dream its like a million little stars spelling out your name you got to come on come on say that well be together come on come on oh in the middle of the night waking from this dream i want to feel you by my side standing next to me you got to come on come on say that well be together come on come on little taste of heaven  im caught up in you oh oh oh oh oh but youre untouchable burning brighter than the sun now that youre close i feel like coming undone  in the middle of the night when im in this dream its like a million little stars spelling out your name you got to come on come on say that well be together come on come on oh oh oh in the middle of the night when im in this dream its like a million little stars spelling out your name you got to come on come on say that well be together come on come on come on in the middle of the night waking from this dream i want to feel you by my side standing next to me you got to come on come on say that well be together come on come on little taste of heaven  oh oh oh oh oh oh and in the middle of the night when im in this dream its like a million little stars spelling out your name you got to come on come on oh come on come on come on come on oh oh oh oh like a million little stars spelling out your name theyre spelling out your name oh
