Album,Song Name,Lyrics
Speak Now Taylors Version,  Foolish One (Taylor's Version) [From The Vault],my cards are on the table yours are in your hand chances are tonight youve already got plans and chances are i will talk myself to sleep again you give me just enough attention to keep my hopes too high wishful thoughts forget to mention when somethings really not right and i will block out these voices of reason in my head  and the voices say you are not the exception you will never learn your lesson  foolish one stop checkin your mailbox for confessions of love that aint never gonna come you will take the long way you will take the long way down  you know how to keep me waitin i know how to act like im fine dont know what to call this situation but i know i cant call you mine and its delicate but i will do my best to seem bulletproof cause when my head is on your shoulder it starts thinkin youll come around and maybe someday when were older this is something well laugh about over coffee every mornin while youre watching the news  but then the voices say you are not the exception you will never learn your lesson  foolish one stop checkin your mailbox for confessions of love that aint never gonna come you will take the long way you will take the long way down foolish one stop checkin your mailbox for confessions of love that aint never gonna come you will learn the hard way instead of just walkin out  now im slidin down the wall with my head in my hands sayin how could i not see the signs oh you havent written me or called but goodbye screamin in the silence and the voices in my head are tellin me why cause you got her on your arm and me in the wings ill get your longing glances but shell get your ring and you will say you had the best of intentions and maybe i will finally learn my lesson  foolish one stop checkin your mailbox for confessions of love that aint never gonna come you will take the long way you will take the long way down foolish one stop checkin your mailbox for confessions of love that aint never gonna come you will learn the hard way instead of just walkin out oh oh oh oh  la la la la la la la la la oh la la la la la aint never gonna come ooh you will learn the hard way now foolish one sittin round waiting for confessions of love they aint never gonna come and thinkin hes the one you shouldve been walkin out foolish one the day is gonna come for your confessions of love when all is said and done he just wasnt the one no he just wasnt the one
Speak Now Taylors Version,  I Can See You (Taylor's Version) [From The Vault],i i i i  you brush past me in the hallway and you dont think i i i can see ya do ya i’ve been watchin you for ages and i spend my time tryin not to feel it  but what would you do if i went to touch you now what would you do if they never found us out what would you do if we never made a sound  ’cause i can see you waitin down the hall from me and i could see you up against the wall with me and what would you do baby if you only knew that i can see you  i i i i  and we kept everything professional but somethings changed its somethin i i like they keep watchful eyes on us so its best that we move fast and keep quiet you wont believe half the things i see inside my head wait til you see half the things that haven’t happened yet  but what would you do if i went to touch you now what would you do if they never found us out what would you do if we never made a sound  ’cause i can see you waitin down the hall from me and i could see you up against the wall with me and what would you do baby if you only knew oh oh oh that i could see you throw your jacket on the floor i could see you make me want you even more what would you do baby if you only knew that i can see you  i i i i  i can see you in your suit and your necktie passed me a note sayin’ meet me tonight then we kiss and you know i wont ever tell yeah and i could see you being my addiction you can see me as a secret mission hide away and i will start behaving myself  i i i i oh oh oh oh  i can see you waitin down the hall from me and i could see you up against the wall with me and what would you do baby if you only knew oh that i could see you throw your jacket on the floor i could see you make me want you even more what would you do baby if you only knew that i can see you oh i can see you  oh i see you i see you baby i see you i i i i i see you i see you baby oh baby
Speak Now Taylors Version,  Timeless (Taylor's Version) [From The Vault],down the block theres an antique shop and something in my head said stop so i walked in on the counter was a cardboard box and the sign said photos twenty five cents each black and white saw a 30s bride and school lovers laughin on the porch of their first house the kinda love that you only find once in a lifetime the kind you dont put down  and thats when i called you and its so hard to explain but in those photos i saw us instead and somehow i know that you and i wouldve found each other in another life you still wouldve turned my head even if wеd met  on a crowded street in 1944 and you werе headed off to fight in the war you still wouldve been mine we would have been timeless i wouldve read your love letters every single night and prayed to god youd be comin home all right and you wouldve been fine we would have been timeless cause i believe that we were supposed to find this so even in a different life you still wouldve been mine we wouldve been timeless  i had to smile when it caught my eye there was one of a teenage couple in the driveway holdin hands on the way to a dance and the date on the back said 1958 which brought me back to the first time i saw you time stood still like somethin in this old shop i thought about it as i started lookin round at these precious things that time forgot  thats when i came upon a book covered in cobwebs story of a romance torn apart by fate hundreds of years ago they fell in love like we did and id die for you in the same way if i first saw your face  in the 1500s off in a foreign land and i was forced to marry another man you still wouldve been mine we would have been timeless i wouldve read your love letters every single night and run away and left it all behind you still wouldve been mine we wouldve been timeless cause i believe that we were supposed to find this so even in a different life you still wouldve been mine we wouldve been timeless  time breaks down your mind and body dont you let it touch your soul it was like an age old classic the first time that you saw me the story started when you said hello  in a crowded room a few short years ago and sometimes theres no proof you just know youre always gonna be mine were gonna be im gonna love you when our hair is turnin gray well have a cardboard box of photos of the life weve made and youll say oh my we really were timeless  were gonna be timeless timeless you still wouldve been mine we wouldve been even if wed met on a crowded street in 1944 you still wouldve been mine we wouldve been  down the block theres an antique shop and somethin in my head said stop so i walked in
Speak Now Taylors Version,  When Emma Falls in Love (Taylor's Version) [From The Vault],when emma falls in love she paces the floor closes the blinds and locks the door when emma falls in love she calls up her mom jokes about the ways that this one could go wrong she waits and takes her time cause little miss sunshine always thinks its gonna rain when emma falls in love i know that boy will never be the same  cause shes the kind of book that you cant put down like if cleopatra grew up in a small town and all the bad boys would be good boys if they only had a chance to love her and to tell you the truth sometimes i wish i was her  when emma falls in love its all on her face hangs in the air like stars in outer space when emma falls in love she disappears and we all just laugh after seein it all these years when emma falls apart its when shes alone she takes on the pain and bears it on her own cause when emma falls in love shes in it for keeps she wont walk away unless she knows she absolutely has to leave  and shes the kind of book that you cant put down like if cleopatra grew up in a small town and all the bad boys would be good boys if they only had a chance to love her and to tell you the truth sometimes i wish i was her  well shes so new york when shes in la​​ she wont lose herself in love the way that i did cause shell call you out shell put you in your place when emma falls in love im learning  emma met a boy with eyes like a man turns out her heart fits right in the palm of his hand now hell be her shelter when it rains little does he know his whole worlds about to change  cause shes the kind of book that you cant put down like if cleopatra grew up in a small town and all the bad boys would be good boys if they only had a chance to love her and to tell you the truth sometimes i wish i was her  yeah between me and you sometimes i wish i was her
Red Deluxe Edition,  22,it feels like a perfect night to dress up like hipsters and make fun of our exes uh uh uh uh it feels like a perfect night for breakfast at midnight to fall in love with strangers uh uh uh uh  yeah were happy free confused and lonely at the same time its miserable and magical oh yeah tonights the night when we forget about the deadlines its time oh oh  i dont know about you but im feeling twenty two everything will be alright if you keep me next to you you dont know about me but ill bet you want to everything will be alright if we just keep dancing like were twenty two twenty two  it seems like one of those nights this place is too crowded too many cool kids uh uh uh uh whos taylor swift anyway ew it seems like one of those nights we ditch the whole scene and end up dreamin instead of sleeping  yeah were happy free confused and lonely in the best way its miserable and magical oh yeah tonights the night when we forget about the heartbreaks its time oh oh  hey i dont know about you but im feeling twenty two everything will be alright if ooh you keep me next to you you dont know about me but ill bet you want to everything will be alright if alright we just keep dancing like were twenty two oh oh oh oh oh twenty two i dont know about you twenty two twenty two ooh  it feels like one of those nights we ditch the whole scene it feels like one of those nights we wont be sleepin it feels like one of those nights you look like bad news i gotta have you i gotta have you you woah ooh yeah eh yeah  hey i dont know about you i dont know about you but im feeling twenty two everything will be alright if ooh you keep me next to you you dont know about me you dont know about me but ill bet you want to everything will be alright if we just keep dancing like were dancing like were twenty two twenty two woah oh twenty two dancing like twenty two yeah yeah twenty two yeah yeah yeah  it feels like one of those nights twenty two we ditch the whole scene it feels like one of those nights twenty two we wont be sleeping it feels like one of those nights twenty two you look like bad news i gotta have you i gotta have you
Red Deluxe Edition,  All Too Well,i walked through the door with you the air was cold but something bout it felt like home somehow and i left my scarf there at your sisters house and youve still got it in your drawer even now  oh your sweet disposition and my wide eyed gaze were singing in the car getting lost upstate autumn leaves falling down like pieces into place and i can picture it after all these days  and i know its long gone and that magics not here no more and i might be okay but im not fine at all oh oh oh  cause there we are again on that little town street you almost ran the red cause you were lookin over at me wind in my hair i was there i remember it all too well  photo album on the counter your cheeks were turning red you used to be a little kid with glasses in a twin sized bed and your mothers telling stories bout you on the tee ball team you taught me bout your past thinking your future was me  and i know its long gone and there was nothing else i could do and i forget about you long enough to forget why i needed to cause there we are again in the middle of the night were dancing ‘round the kitchen in the refrigerator light down the stairs i was there i remember it all too well yeah  well maybe we got lost in translation maybe i asked for too much but maybe this thing was a masterpiece til you tore it all up running scared i was there i remember it all too well and you call me up again just to break me like a promise so casually cruel in the name of being honest im a crumpled up piece of paper lying here cause i remember it all all all too well  time wont fly its like im paralyzed by it id like to be my old self again but im still trying to find it after plaid shirt days and nights when you made me your own now you mail back my things and i walk home alone but you keep my old scarf from that very first week cause it reminds you of innocence and it smells like me you cant get rid of it cause you remember it all too well yeah  cause there we are again when i loved you so back before you lost the one real thing youve ever known it was rare i was there i remember it all too well  wind in my hair you were there you remember it all down the stairs you were there you remember it all it was rare i was there i remember it all too well
Red Deluxe Edition,  Begin Again,took a deep breath in the mirror he didnt like it when i wore high heels but i do turn the lock and put my headphones on he always said he didnt get this song but i do i do  i walked in expecting youd be late but you got here early and you stand and wave i walk to you you pull my chair out and help me in and you dont know how nice that is but i do  and you throw your head back laughin like a little kid i think its strange that you think im funny cause he never did ive been spending the last eight months thinkin all love ever does is break and burn and end but on a wednesday in a café i watched it begin again  you said you never met one girl who had as many james taylor records as you but i do we tell stories and you dont know why im comin off a little shy but i do  but you throw your head back laughin like a little kid i think its strange that you think im funny cause he never did ive been spending the last eight months thinkin all love ever does is break and burn and end but on a wednesday in a café i watched it begin again  and we walked down the block to my car and i almost brought him up but you start to talk about the movies that your family watches every single christmas and i wanna talk about that and for the first time whats past is past  cause you throw your head back laughin like a little kid i think its strange that you think im funny cause he never did ive been spending the last eight months thinkin all love ever does is break and burn and end but on a wednesday in a café i watched it begin again  hmm hmm but on a wednesday in a café i watched it begin again
Red Deluxe Edition,  Come Back Be Here,you said it in a simple way 4 am the second day how strange that i dont know you at all stumbled through the long goodbye one last kiss then catch your flight right when i was just about to fall  i told myself dont get attached but in my mind i play it back spinning faster than the plane that took you  and this is when the feeling sinks in i dont wanna miss you like this come back be here come back be here i guess youre in new york today i dont wanna need you this way come back be here come back be here  the delicate beginning rush the feeling you can know so much without knowing anything at all and now that i can put this down if i had known what i know now i never wouldve played so nonchalant  taxi cabs and busy streets that never bring you back to me i cant help but wish you took me with you  and this is when the feeling sinks in i dont wanna miss you like this come back be here come back be here i guess youre in london today and i dont wanna need you this way come back be here come back be here  this is falling in love in the cruelest way this is falling for you when you are worlds away in new york be here but youre in london and i break down cause its not fair that youre not around  this is when the feeling sinks in i dont wanna miss you like this come back be here come back be here i guess youre in new york today and i dont wanna need you this way come back be here come back be here  oh oh oh oh i dont wanna miss you like this oh oh oh oh come back be here come back be here
Red Deluxe Edition,  Everything Has Changed,you good to go  all i knew this morning when i woke is i know something now know something now i didnt before and all ive seen since 18 hours ago is green eyes and freckles and your smile in the back of my mind making me feel like  i just wanna know you better know you better know you better now i just wanna know you better know you better know you better now i just wanna know you better know you better know you better now i just wanna know you know you know you  cause all i know is we said hello and your eyes look like coming home all i know is a simple name and everything has changed all i know is you held the door youll be mine and ill be yours all i know since yesterday is everything has changed  and all my walls stood tall painted blue and ill take em down take em down and open up the door for you and all i feel in my stomach is butterflies the beautiful kind making up for lost time taking flight making me feel right i just wanna know you better know you better know you better now i just wanna know you better know you better know you better now i just wanna know you better know you better know you better now i just wanna know you know you know you  cause all i know is we said hello and your eyes look like coming home all i know is a simple name and everything has changed all i know is you held the door youll be mine and ill be yours all i know since yesterday is everything has changed  come back and tell me why im feeling like ive missed you all this time and meet me there tonight and let me know that its not all in my mind i just wanna know you better know you better know you better now i just wanna know you know you know you  cause all i know is we said hello and your eyes look like coming home all i know is a simple name and everything has changed all i know is you held the door youll be mine and ill be yours all i know since yesterday is everything has changed  all i know is we said hello so dust off your highest hopes all i know is pouring rain and everything has changed all i know is a new found grace all my days ill know your face all i know since yesterday is everything has changed
Red Deluxe Edition,  Girl at Home,dont look at me you got a girl at home and everybody knows that everybody knows that ah ah dont look at me you got a girl at home and everybody knows that  i dont even know her but i feel a responsibility to do whats upstanding and right its kinda like a code yeah and youve been getting closer and closer and crossing so many lines  and it would be a fine proposition if i was a stupid girl but honey i am no ones exception this i have previously learned  so dont look at me you got a girl at home and everybody knows that everybody knows that ah ah dont look at me you got a girl at home and everybody knows that everybody knows that i see you turn off your phone and now youve got me alone and i say dont look at me you got a girl at home and everybody knows that everybody knows that  i just want to make sure you understand perfectly youre the kind of man who makes me sad while she waits up you chase down the newest thing and take for granted what you have  and it would be a fine proposition if i was a stupid girl and yeah i might go with it if i hadnt once been just like her  so dont look at me you got a girl at home and everybody knows that everybody knows that ah ah dont look at me you got a girl at home and everybody knows that everybody knows that i see you turn off your phone and now youve got me alone and i say dont look at me you got a girl at home and everybody knows that everybody knows that  oh oh oh oh oh oh oh oh oh oh oh oh  call a cab lose my number youre about to lose your girl call a cab lose my number lets consider this lesson learned  dont look at me you got a girl at home and everybody knows that everybody knows that ah ah dont look at me you got a girl at home and everybody knows that everybody knows that want to see you pick up your phone and tell her youre coming home dont look at me you got a girl at home and everybody knows that everybody knows that  dont look at me you got a girl at home and everybody knows that everybody knows that it would be a fine proposition if i hadnt once been just like her
Red Deluxe Edition,  Holy Ground,i was reminiscing just the other day while having coffee all alone and lord it took me away back to a first glance feeling on new york time back when you fit in my poems like a perfect rhyme took off faster than a green light go hey you skip the conversation when you already know i left a note on the door with a joke wed made and that was the first day  and darling it was good never looking down and right there where we stood was holy ground  spinning like a girl in a brand new dress we had this big wide city all to ourselves we blocked the noise with the sound of i need you and for the first time i had something to lose and i guess we fell apart in the usual way and the storys got dust on every page but sometimes i wonder how you think about it now and i see your face in every crowd  cause darling it was good never looking down and right there where we stood was holy ground  tonight im gonna dance for all that weve been through but i dont wanna dance if im not dancing with you tonight im gonna dance like you were in this room but i dont wanna dance if im not dancing with you  it was good never looking down and right there where we stood was holy ground  tonight im gonna dance for all that weve been through but i dont wanna dance if im not dancing with you tonight im gonna dance like you were in this room but i dont wanna dance if im not dancing with you
Red Deluxe Edition,  I Almost Do,i bet this time of night you’re still up i bet you’re tired from a long hard week i bet you’re sittin in your chair by the window looking out at the city and i bet sometimes you wonder bout me  and i just wanna tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that every time i don’t i almost do i almost do  i bet you think i either moved on or hate you ‘cause each time you reach out there’s no reply i bet it never ever occurred to you that i can’t say hello to you and risk another goodbye  and i just wanna tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that every time i don’t i almost do i almost do  oh we made quite a mess babe it’s probably better off this way and i confess babe in my dreams you’re touching my face and asking me if i want to try again with you and i almost do  and i just wanna tell you it takes everything in me not to call you and i wish i could run to you and i hope you know that every time i don’t i almost do i almost do  i bet this time of night you’re still up i bet you’re tired from a long hard week i bet you’re sittin in your chair by the window looking out at the city and i hope sometimes you wonder bout me
Red Deluxe Edition,  I Knew You Were Trouble,once upon a time a few mistakes ago i was in your sights you got me alone you found me you found me you found me e e e e i guess you didnt care and i guess i liked that and when i fell hard you took a step back without me without me without me e e e e  and hes long gone when hes next to me and i realize the blame is on me  cause i knew you were trouble when you walked in so shame on me now flew me to places id never been til you put me down oh i knew you were trouble when you walked in so shame on me now flew me to places id never been now im lying on the cold hard ground  oh oh oh trouble trouble trouble oh oh oh trouble trouble trouble  no apologies hell never see you cry pretends he doesnt know that hes the reason why youre drowning youre drowning youre drowning ing ing ing ing and i heard you moved on from whispers on the street a new notch in your belt is all ill ever be and now i see now i see now i see e e e e  he was long gone when he met me and i realize the joke is on me yeah  i knew you were trouble when you walked in oh so shame on me now flew me to places id never been til you put me down oh i knew you were trouble when you walked in so shame on me now flew me to places id never been yeah now im lying on the cold hard ground  oh oh oh trouble trouble trouble yeah trouble oh oh oh trouble trouble trouble  and the saddest fear comes creeping in that you never loved me or her or anyone or anything yeah  i knew you were trouble when you walked in so shame on me now flew me to places id never been never been til you put me down oh i knew you were trouble when you walked in knew it right there so shame on me now knew it right there flew me to places id never been ooh now im lying on the cold hard ground  oh oh oh trouble trouble trouble oh oh oh oh trouble trouble trouble i knew you were trouble when you walked in trouble trouble trouble i knew you were trouble when you walked in trouble trouble trouble
Red Deluxe Edition,  Red,loving him is like driving a new maserati down a dead end street faster than the wind passionate as sin ending so suddenly loving him is like trying to change your mind once youre already flying through the free fall like the colors in autumn so bright just before they lose it all  losing him was blue like id never known missing him was dark gray all alone forgetting him was like trying to know somebody youve never met but loving him was red  red red red red loving him was red red red red red  touching him was like realizing all you ever wanted was right there in front of you memorizing him was as easy as knowing all the words to your old favorite song fighting with him was like trying to solve a crossword and realizing theres no right answer regretting him was like wishing you never found out that love could be that strong  losing him was blue like id never known missing him was dark gray all alone whoa forgetting him was like trying to know somebody youve never met but loving him was red  red red oh red red red burning red red red red red  remembering him comes in flashbacks and echoes tell myself its time now gotta let go but moving on from him is impossible when i still see it all in my head in burning red burning it was red  oh losing him was blue like id never known missing him was dark gray all alone whoa forgetting him was like trying to know somebody youve never met cause loving him was red  red red yeah yeah red red red burning red red red red red  and thats why red red hes spinning round in my head comes back to me red red burning red red red yeah yeah red red  his love was like driving a new maserati down a dead end street
Red Deluxe Edition,  Sad Beautiful Tragic,long handwritten note deep in your pocket words how little they mean when youre a little too late i stood right by the tracks your face in a locket good girls hopeful theyll be and long they will wait  we had a beautiful magic love there what a sad beautiful tragic love affair  in dreams i meet you in warm conversation we both wake in lonely beds different cities and time is taking its sweet time erasing you and youve got your demons and darling they all look like me  cause we had a beautiful magic love there what a sad beautiful tragic love affair  distance timing breakdown fighting silence the train runs off its tracks kiss me try to fix it could you just try to listen hang up give up and for the life of us we cant get back  a beautiful magic love there what a sad beautiful tragic beautiful tragic beautiful  what we had a beautiful magic love there what a sad beautiful tragic love affair we had a beautiful magic love there what a sad beautiful tragic love affair
Red Deluxe Edition,  Starlight,i said oh my what a marvelous tune it was the best night never would forget how he moved the whole place was dressed to the nines and we were dancing dancing like were made of starlight like were made of starlight  i met bobby on the boardwalk summer of 45 picked me up late one night out the window we were 17 and crazy running wild wild cant remember what song it was playing when we walked in the night we snuck into a yacht club party pretending to be a duchess and a prince  and i said oh my what a marvelous tune it was the best night never would forget how he moved the whole place was dressed to the nines and we were dancing dancing like were made of starlight starlight like were made of starlight starlight  he said “look at you worrying too much about things you cant change youll spend your whole life singing the blues if you keep thinking that way he was trying to skip rocks on the ocean saying to me dont you see the starlight starlight dont you dream impossible things  like oh my what a marvelous tune it was the best night never would forget how he moved the whole place was dressed to the nines and we were dancing dancing like were made of starlight starlight like were made of starlight starlight  ooh ooh hes talking crazy ooh ooh dancing with me ooh ooh we could get married have ten kids and teach em how to dream   oh my what a marvelous tune it was the best night never would forget how he moved the whole place was dressed to the nines and we were dancing dancing like were made of starlight starlight like were made of starlight starlight  like were made of starlight starlight like we dream impossible dreams like starlight starlight like we dream impossible dreams  dont you see the starlight starlight dont you dream impossible things
Red Deluxe Edition,  State of Grace,im walking fast through the traffic lights busy streets and busy lives and all we know is touch and go we are alone with our changing minds we fall in love til it hurts or bleeds or fades in time  and i never never saw you coming and i’ll never never be the same  you come around and the armor falls pierce the room like a cannonball now all we know is don’t let go we are alone just you and me up in your room and our slates are clean just twin fire signs four blue eyes  so you were never a saint and ive loved in shades of wrong we learn to live with the pain mosaic broken hearts but this love is brave and wild  and i never never saw you coming and i’ll never never be the same  this is a state of grace this is the worthwhile fight love is a ruthless game unless you play it good and right these are the hands of fate you’re my achilles heel this is the golden age of something good and right and real  and i never never saw you coming and i’ll never be the same  and i never never saw you coming and i’ll never so you were never a saint and ive loved in shades of wrong be the same we learn to live with the pain mosaic broken hearts but this love is brave and wild  this is a state of grace this is the worthwhile fight love is a ruthless game unless you play it good and right
Red Deluxe Edition,  Stay Stay Stay,im pretty sure we almost broke up last night i threw my phone across the room at you i was expecting some dramatic turn away but you stayed this morning i said we should talk about it cause i read you should never leave a fight unresolved thats when you came in wearing a football helmet and said okay lets talk and i said  stay stay stay ive been loving you for quite some time time time you think that its funny when im mad mad mad but i think that its best if we both stay  before you id only dated self indulgent takers who took all of their problems out on me but you carry my groceries and now im always laughing and i love you because you have given me no choice but to  stay stay stay ive been loving you for quite some time time time you think that its funny when im mad mad mad but i think that its best if we both stay stay stay stay  you took the time to memorize me my fears my hopes and dreams i just like hanging out with you all the time all those times that you didnt leave its been occurring to me id like to hang out with you for my whole life  stay and ill be loving you for quite some time no one else is gonna love me when i get mad mad mad so i think that its best if we both stay stay stay stay stay stay  stay stay stay ive been loving you for quite some time time time you think that its funny when im mad mad mad but i think that its best if we both stay stay stay stay stay stay  stay stay stay ive been loving you for quite some time time time you think that its funny when im mad mad mad but i think that its best if we both stay ha ha ha its so fun
Red Deluxe Edition,  The Last Time,find myself at your door just like all those times before i’m not sure how i got there all roads they lead me here i imagine you are home in your room all alone and you open your eyes into mine and everything feels better  and right before your eyes im breaking no past no reasons why just you and me  this is the last time im asking you this put my name at the top of your list this is the last time im asking you why you break my heart in the blink of an eye eye eye  you find yourself at my door and just like all those times before you wear your best apology but i was there to watch you leave and all the times i let you in just for you to go again disappear when you come back everything is better  and right before your eyes im aching run fast nowhere to hide just you and me  this is the last time im asking you this put my name at the top of your list this is the last time im asking you why you break my heart in the blink of an eye eye eye   this is the last time you tell me ive got it wrong this is the last time i say its been you all along this is the last time i let you in my door this is the last time i wont hurt you anymore oh ho oh ho oh ho oh ho oh ho oh ho oh ho oh ho this is the last time im asking you this put my name at the top of your list this is the last time im asking you why you break my heart in the blink of an eye  this is the last time im asking you this this is the last time im asking you this put my name at the top of your list put my name at the top of your list this is the last time im asking you why this is the last time im asking you why you break my heart in the blink of an eye you break my heart this is the last time im asking you last time im asking you last time im asking you this this is the last time im asking you last time im asking you last time im asking you this this is the last time im asking you last time im asking you last time im asking you this this is the last time im asking you last time im asking you last time im asking you this
Red Deluxe Edition,  The Lucky One,new to town with a made up name in the angels city chasing fortune and fame and the camera flashes make it look like a dream you had it figured out since you were in school everybody loves pretty everybody loves cool so overnight you look like a sixties queen  another name goes up in lights like diamonds in the sky  and they’ll tell you now you’re the lucky one yeah they’ll tell you now you’re the lucky one but can you tell me now you’re the lucky one oh oh oh  now it’s big black cars and riviera views and your lover in the foyer doesn’t even know you and your secrets end up splashed on the news front page and they tell you that you’re lucky but you’re so confused cause you don’t feel pretty you just feel used and all the young things line up to take your place  another name goes up in lights you wonder if you’ll make it out alive  and they’ll tell you now you’re the lucky one yeah they’ll tell you now you’re the lucky one but can you tell me now you’re the lucky one oh oh oh  it was a few years later i showed up here and they still tell the legend of how you disappeared how you took the money and your dignity and got the hell out they say you bought a bunch of land somewhere chose the rose garden over madison square and it took some time but i understand it now  cause now my name is up in lights but i think you got it right  let me tell you now you’re the lucky one let me tell you now you’re the lucky one let me tell you now you’re the lucky one oh oh oh and they’ll tell you now you’re the lucky one yeah they’ll tell you now you’re the lucky one and they’ll tell you now you’re the lucky one oh oh oh oh whoa oh oh
Red Deluxe Edition,  The Moment I Knew,you shouldve been there shouldve burst through the door with that baby im right here smile and it wouldve felt like a million little shining stars had just aligned and i wouldve been so happy  christmas lights glisten ive got my eye on the door just waiting for you to walk in but the time is ticking people ask me how ive been as i comb back through my memory how you said youd be here you said youd be here  and it was like slow motion standing there in my party dress in red lipstick with no one to impress and theyre all laughing as im looking around the room but there was one thing missing and that was the moment i knew  and the hours pass by now i just wanna be alone but your close friends always seem to know when theres something really wrong so they follow me down the hall and there in the bathroom i try not to fall apart and the sinking feeling starts as i say hopelessly he said hed be here  and it was like slow motion standing there in my party dress in red lipstick with no one to impress and theyre all laughing and asking me about you but there was one thing missing missing and that was the moment i knew  what do you say when tears are streaming down your face in front of everyone you know and what do you do when the one who means the most to you is the one who didnt show  you shouldve been here and i wouldve been so happy  and it was like slow motion standing there in my party dress in red lipstick with no one to impress and theyre all standing around me singing happy birthday to you but there was one thing missing and that was the moment i knew oh oh oh oh oh oh oh i knew oh oh oh oh oh oh oh  you called me later and said im sorry i didnt make it and i said im sorry too and that was the moment i knew
Red Deluxe Edition,  Treacherous,put your lips close to mine as long as they dont touch out of focus eye to eye til the gravitys too much and ill do anything you say if you say it with your hands and id be smart to walk away but youre quicksand  this slope is treacherous this path is reckless this slope is treacherous and i i i like it  i cant decide if its a choice getting swept away i hear the sound of my own voice asking you to stay and all we are is skin and bone trained to get along forever going with the flow but youre friction  this slope is treacherous this path is reckless this slope is treacherous i i i like it  two headlights shine through the sleepless night and i will get you get you alone your name has echoed through my mind and i just think you should think you should know that nothing safe is worth the drive and i would follow you follow you home ill follow you follow you home  this hope is treacherous this daydream is dangerous this hope is treacherous i i i i i i i i i  two headlights shine through the sleepless night and i will get you get you alone your name has echoed through my mind and i just think you should think you should know that nothing safe is worth the drive and i would follow you follow you home ill follow you follow you home ill follow you follow you home ill follow you follow you home  this slope is treacherous i i i like it
Red Deluxe Edition,  We Are Never Ever Getting Back Together,i remember when we broke up the first time saying this is it ive had enough cause like we hadnt seen each other in a month when you said you needed space what then you come around again and say baby i miss you and i swear im gonna change trust me remember how that lasted for a day i say i hate you we break up you call me i love you  ooh ooh ooh ooh ooh we called it off again last night but ooh ooh ooh ooh ooh this time im telling you im telling you  we are never ever ever getting back together we are never ever ever getting back together you go talk to your friends talk to my friends talk to me but we are never ever ever ever getting back together like ever  im really gonna miss you picking fights and me falling for it screaming that im right and you would hide away and find your peace of mind with some indie record thats much cooler than mine  ooh ooh ooh ooh ooh you called me up again tonight but ooh ooh ooh ooh ooh this time im telling you im telling you  we we are never ever ever getting back together we are never ever ever getting back together you go talk to your friends talk to my friends talk to me talk to me but we are never ever ever ever getting back together  ooh ooh ooh ooh ooh yeah ooh ooh ooh ooh ooh ooh yeah ooh ooh ooh ooh ooh yeah oh oh oh  i used to think that we were forever ever and i used to say never say never ugh so he calls me up and hes like i still love you and im like i just i mean this is exhausting you know like we are never getting back together like ever  no we are never ever ever getting back together we are never ever ever ooh getting back together you go talk to your friends talk to my friends talk to me but we are never ever ever ever getting back together  we ooh ooh ooh ooh ooh ooh ooh ooh no getting back together we ooh ooh ooh ooh ooh oh oh getting back together yeah you go talk to your friends talk to my friends talk to me talk to me but we are never ever ever ever getting back together
